"Patent ID","Annotation Reference","Chemical ID","SMILES","Type","Chemical Document Count","Annotation Document Count","Title Count","Abstract Count","Claims Count","Description Count","Chemical Corpus Count","Annotation Corpus Count","Molecular Weight","Med Chem Alert","Log P","Donor Count","Acceptor Count","Ring Count","Rotatable Bound Count","Radical","Fragment","Connected","Singleton","Simple","Lipinski","Lead Likeness","Bio Availability"
"US-20110009367-A1","US20110009367A1-20110113-C00404.MOL","12824024","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N[C@@H](CO)CC1=CC=CC=C1","MOLATTACHMENT","0","","","","","","7","","525.6199951171875","0","2.0637600421905518","3","7","4","10","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00209.TIF","13607","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC1)C1CCCC1","IMAGE","0","","","","","","24","","528.6669921875","0","2.1064600944519043","1","7","5","7","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00159.MOL","12823757","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC(CO)C(C)C","MOLATTACHMENT","0","","","","","","13","","477.5769958496094","0","1.2949299812316895","3","7","3","9","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00138.MOL","974749","CCCOC1=CC=C(C=C1C1=NN2C(CCC)=NC(C)=C2C(=O)N1)S(=O)(=O)N(C)CCC1=CC=C(OC)C(OC)=C1","MOLATTACHMENT","2","","","","","","49","","583.698974609375","0","3.1249499320983887","1","8","4","12","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00085.MOL","974472","CCOC1=CC=C(C=C1C1=NN2C(C)=NC(C)=C2C(=O)N1)S(=O)(=O)N(CCOC)CCOC","MOLATTACHMENT","2","","","","","","50","","479.54998779296875","0","-0.33441901206970215","1","8","3","10","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00331.TIF","12823342","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCC1=CC=CC(O)=C1","IMAGE","0","","","","","","7","","497.5669860839844","0","2.101870059967041","3","7","4","8","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00379.MOL","12823819","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC1=CC=C(OC)C(OCC(=O)N(CC)CC)=C1","MOLATTACHMENT","0","","","","","","6","","626.7239990234375","0","1.8555799722671509","2","9","4","13","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00163.TIF","12823764","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC(C)(C)CO","IMAGE","0","","","","","","7","","463.54998779296875","0","0.6880099773406982","3","7","3","8","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00286.MOL","12824002","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC1=CC(CN(CC)CCO)=CC=C1","MOLATTACHMENT","0","","","","","","7","","582.7139892578125","0","1.769610047340393","3","8","4","13","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00186.TIF","12824036","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(CCCO)CC1=C(OC)C=C(OC)C=C1","IMAGE","0","","","","","","7","","599.697998046875","0","1.6836199760437012","2","9","4","13","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00318.TIF","12823607","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCCC1=CC=CC=C1","IMAGE","0","","","","","","5","","495.593994140625","0","2.694089889526367","2","6","4","9","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00040.TIF","12070","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N(CC)CC","IMAGE","2","","","","","","76","","447.5509948730469","0","1.6182500123977661","1","6","3","8","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00283.TIF","12823120","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCCN(C)CCO","IMAGE","0","","","","","","7","","506.6180114746094","0","0.589801013469696","3","8","3","12","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00061.TIF","5613","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC=CC=C1OCC","IMAGE","2","","","","","","85","","312.3659973144531","0","1.8512500524520874","1","4","3","5","0","0","1","0","0","1","1","1"
